Dấu thời gian,Giới tính,Năm học hiện tại,Kinh nghiệm sử dụng công cụ số trong học tập ,Trường của bạn nằm ở vùng nào,Tôi hiểu rõ khái niệm và tầm quan trọng của chuyển đổi số trong học tập ngành ngôn ngữ.,Tôi nhận thấy chuyển đổi số mang lại nhiều lợi ích cho người học.,Tôi thấy rất dễ dàng để thực hiện chuyển đổi số trong học tập chuyên ngành của mình.,Nhà trường có chính sách rõ ràng để khuyến khích và thúc đẩy sinh viên thực hiện chuyển đổi số trong học tập,Nhà trường cung cấp đầy đủ tài liệu và chương trình đào tạo liên quan đến chuyển đổi số.,"Tôi có cơ hội tham gia các khóa học, các hội thảo về thực hiện chuyển đổi số trong học tập do trường tổ chức.",Giảng viên của tôi khi lên lớp có lồng ghép kiến thức về chuyển đổi số vào bài giảng.,"Giảng viên, bạn bè khuyến khích tôi ứng dụng công nghệ vào các hoạt động học tập.","Tôi có đủ thiết bị (máy tính, Internet…) và công cụ để ứng dụng công nghệ số trong học tập và công việc","Tôi được tiếp cận nền tảng, công cụ học trực tuyến (LMS, MOOCs, v.v.)",Tôi có thể sử dụng thành thạo các công cụ số  để ứng dụng trong học tập chuyên ngành của mình.,Tôi dễ dàng tiếp cận các công cụ số hỗ trợ cho công việc học tập.,Tôi sẵn sàng sử dụng công nghệ một cách thường xuyên trong học tập để thích ứng với chuyển đổi số.,Tôi thường xuyên cập nhật thông tin về xu hướng chuyển đổi số trong chuyên ngành của mình.,Tôi sẵn sàng học thêm kỹ năng số để nâng cao chất lượng học tập.,Tôi ủng hộ việc thực hiện chuyển đổi số trong dạy và học chuyên ngành ngôn ngữ.,Tôi sẵn sàng giới thiệu các công cụ số ứng dụng trong học tập cho các bạn học khác.,Tôi sẵn sàng chia sẻ kỹ năng số của mình cho các bạn học.
4/8/2025 14:31:36,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5
4/8/2025 14:31:45,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:32:37,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,5,3,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5
4/8/2025 14:33:19,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,4,3,3,3,2,2,2,5,4,4,3,4,3,3,4,4,5
4/8/2025 14:33:27,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
4/8/2025 14:34:19,Nữ,Năm thứ nhất,Trên 3 năm,Miền Bắc,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:35:29,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,3,3,2,3,2,3,3,2,2,2,4,3,4,4,4,4
4/8/2025 14:36:12,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:37:12,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5
4/8/2025 14:37:36,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5
4/8/2025 14:37:41,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5
4/8/2025 14:40:35,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/8/2025 14:41:10,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:41:19,Nam,Năm thứ ba,Dưới 1 năm,Miền Bắc,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:41:34,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/8/2025 14:42:53,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/8/2025 14:43:47,Nam,Năm thứ ba,"1 - 3 năm, Trên 3 năm",Miền Bắc,1,2,3,5,5,5,3,5,4,4,4,4,4,4,4,4,4,4
4/8/2025 14:44:27,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5
4/8/2025 14:45:15,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,5,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 14:46:04,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:47:08,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4
4/8/2025 14:47:20,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,4,4,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5
4/8/2025 14:49:11,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/8/2025 14:51:06,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,3,3,3,3,3,4,3,1,3,2,4,3,3,5,3,5
4/8/2025 14:54:29,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4
4/8/2025 14:55:27,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,4,4,3,3,3,3,5,3,4,4,5,4,5,5,5,4
4/8/2025 14:55:35,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,4,5,3,2,2,2,2,4,4,2,2,3,3,3,4,4,3,3
4/8/2025 14:55:54,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/8/2025 14:57:17,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
4/8/2025 14:57:30,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,5,5,3,5,2,5,5,5,5,5,5,5,4,5,5,5,5
4/8/2025 14:57:31,Nữ,Năm thứ tư,1 - 3 năm,Miền Nam,5,5,4,4,4,4,5,4,5,5,5,5,5,4,5,5,5,4
4/8/2025 14:58:06,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,4,4,3,3,4,3,5,4,4,4,4,4,4,4,4,4
4/8/2025 14:59:58,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
4/8/2025 15:00:59,Nam,Năm thứ tư,Trên 3 năm,Miền Nam,5,5,5,3,2,4,4,5,5,4,5,5,5,3,5,5,4,5
4/8/2025 15:03:05,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:03:14,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,2,1,1,3,4,5,5,4,5,4,5,5,5,1,5,5,4,4
4/8/2025 15:04:17,Nữ,Năm thứ tư,Dưới 1 năm,Miền Trung,4,4,3,3,4,3,4,4,5,3,3,4,3,4,4,4,4,4
4/8/2025 15:04:39,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,5,5,5,4,4,4,4,4,5,4,3,3,4,4,4,4,4,4
4/8/2025 15:05:38,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:06:33,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,4,4,4,4,3,4,4,5,4,3,4,4,4,4,4,4,4
4/8/2025 15:09:05,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:15:03,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,4,4,1,2,2,5,3,4,5,5,5,5,5,5,5
4/8/2025 15:18:17,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,5,4,4,4,4,1,2,4,4,3,4,5,4,5,5,4,5,4
4/8/2025 15:18:42,Nữ,Năm thứ hai,"1 - 3 năm, Trên 3 năm",Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:22:06,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
4/8/2025 15:34:46,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:35:34,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:35:43,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,4,4,3,3,3,4,4,3,4,3,3,3,3,4,4,4,3
4/8/2025 15:37:28,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 15:38:48,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
4/8/2025 15:41:36,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,3,5,3,3,3,4,4,4,4,4,4,4,4,4,3,3
4/8/2025 15:41:44,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
4/8/2025 15:42:30,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
4/8/2025 15:43:05,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/8/2025 15:43:39,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,5,5
4/8/2025 15:43:44,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:43:55,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,4,3,3,3,4,3,4,5,2,2,3,4,3,4,4,5,4
4/8/2025 15:44:46,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:48:44,Nữ,Năm thứ tư,1 - 3 năm,Miền Nam,5,4,3,4,4,4,3,4,4,4,5,4,4,4,4,5,4,4
4/8/2025 15:48:52,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 15:55:48,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5
4/8/2025 15:56:50,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,5,4,4,3,4,5,5,5,4,4,4,4,4,5,5,5,5
4/8/2025 15:56:50,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,5
4/8/2025 15:57:23,Nữ,Năm thứ tư,"1 - 3 năm, Trên 3 năm",Miền Nam,4,5,5,3,3,3,4,4,5,3,4,4,5,3,4,4,4,4
4/8/2025 16:00:13,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 16:02:44,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,3,3,3
4/8/2025 16:03:09,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,4,4,3,4,4,5,4,4,4,5,5,5,5,5,5
4/8/2025 16:03:33,Nam,Năm thứ nhất,1 - 3 năm,Miền Bắc,4,5,5,4,4,3,4,5,5,4,4,5,5,5,5,5,5,5
4/8/2025 16:05:32,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 16:08:28,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 16:11:42,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,5,5,5,4,3,5,5,5,4,4,4,5,5,5,3,4,4,4
4/8/2025 16:11:50,Nữ,Năm thứ tư,1 - 3 năm,Miền Nam,4,4,4,4,4,5,4,5,5,3,4,5,3,5,5,4,4,5
4/8/2025 16:17:59,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,5,4,4,4,2,5,5,5,5,4,4,5,2,4,5,4,4
4/8/2025 16:18:42,Nữ,Năm thứ tư,Dưới 1 năm,Miền Nam,2,4,1,4,5,4,5,4,5,2,1,4,4,5,5,5,5,5
4/8/2025 16:27:11,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,3,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4
4/8/2025 16:30:50,Nữ,Năm thứ ba,1 - 3 năm,Miền Nam,5,5,4,5,4,3,4,5,5,4,4,4,4,4,4,4,4,4
4/8/2025 16:34:21,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 16:36:10,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,5,5,3,4,4,1,5,5,4,4,4,5,4,4,5,4,4
4/8/2025 16:36:31,Nữ,Năm thứ tư,1 - 3 năm,Miền Nam,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 16:38:28,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,3,5,4,3,3,3,3,5,5,5,4,4,4,4,4,4,4,4
4/8/2025 16:44:48,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,4,4,4
4/8/2025 16:46:24,Nam,Năm thứ tư,Trên 3 năm,Miền Nam,4,4,4,4,5,2,2,2,5,4,3,4,5,4,4,4,3,4
4/8/2025 16:50:57,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5
4/8/2025 16:53:33,Nam,Năm thứ ba,1 - 3 năm,Miền Nam,1,1,3,1,1,3,2,1,5,5,5,5,3,3,4,5,3,5
4/8/2025 16:53:59,Nữ,Năm thứ ba,Dưới 1 năm,Miền Nam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 16:57:56,Nữ,Năm thứ ba,1 - 3 năm,Miền Nam,5,5,5,4,4,4,4,4,5,3,3,4,5,5,5,5,5,5
4/8/2025 17:01:27,Nữ,Năm thứ ba,1 - 3 năm,Miền Nam,3,4,3,3,3,3,4,4,4,4,3,3,4,3,4,4,4,4
4/8/2025 17:05:35,Nam,Năm thứ tư,Trên 3 năm,Miền Bắc,4,3,3,3,3,4,5,5,4,3,3,3,4,4,4,4,4,4
4/8/2025 17:06:03,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,4,4,4,4,2,5,5,4,4,3,4,4,4,4,4,4,4
4/8/2025 17:06:20,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,3,4,4,2,2,3,3,3,4,3,4,4,4,3,3,3,3,3
4/8/2025 17:06:35,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,3,3,3,3,3,4,5,5,4,4,3,3,4,4,5,5
4/8/2025 17:06:39,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,2,5,5,2,2,2,4,5,5,1,2,4,5,2,5,5,5,5
4/8/2025 17:07:00,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,5,3,3,3,4,3,4,5,4,3,4,5,4,5,4,5,5
4/8/2025 17:07:16,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5
4/8/2025 17:07:30,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,4,4,4,4,5,5,5,4,4,5,5,5,4,5,5,5
4/8/2025 17:08:01,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,3,4,3,3,3,3,4,3,5,3,3,3,4,3,4,4,4,4
4/8/2025 17:08:10,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,4,4,5,4,3,4,5,3,4,2,4,4,4,5,4,4,4
4/8/2025 17:15:04,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,3,3,5,5,4,4,5,5,5,5,5,5,5
4/8/2025 17:15:26,Nữ,Năm thứ ba,Trên 3 năm,Miền Nam,4,5,3,3,3,3,4,5,5,5,4,4,5,4,5,5,5,5
4/8/2025 17:16:37,Nam,Năm thứ ba,Trên 3 năm,Miền Nam,5,3,4,5,5,3,4,4,5,4,4,4,4,4,5,5,4,5
4/8/2025 17:17:04,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5
4/8/2025 17:17:44,Nữ,Năm thứ ba,Trên 3 năm,Miền Nam,5,5,5,3,3,3,3,5,5,5,5,5,5,5,3,5,5,5
4/8/2025 17:18:18,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 17:18:35,Nam,Năm thứ ba,1 - 3 năm,Miền Nam,3,5,3,2,1,4,5,5,5,5,4,5,5,4,5,5,5,5
4/8/2025 17:19:09,Nam,Năm thứ ba,Trên 3 năm,Miền Bắc,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
4/8/2025 17:24:12,Nữ,Năm thứ ba,Trên 3 năm,Miền Nam,4,3,3,3,3,2,3,4,4,4,4,4,4,4,4,3,4,4
4/8/2025 17:25:28,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/8/2025 17:29:12,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
4/8/2025 17:30:20,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 17:32:22,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5
4/8/2025 17:32:36,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,3,4,4,4,4,5,5,5,4,5,5,4,5,5,5,5
4/8/2025 17:33:28,Nữ,Năm thứ ba,Trên 3 năm,Miền Nam,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 17:34:37,Nữ,Năm thứ ba,"1 - 3 năm, Trên 3 năm",Miền Nam,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5
4/8/2025 17:37:26,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,3,3,3,4,4,4,4,4,4,5,3,3,2,4,4,1,3
4/8/2025 18:00:32,Nữ,Năm thứ ba,1 - 3 năm,Miền Nam,3,5,4,3,3,1,3,2,5,3,4,4,5,3,4,5,5,5
4/8/2025 18:14:44,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,4,5,4,3,5,5,5,3,3,4,5,5,5,5,5,5
4/8/2025 18:25:30,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,4,3,3,3,4,4,5,4,5,5,5,4,4,5,5,5
4/8/2025 18:26:02,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:26:08,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/8/2025 18:26:23,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:26:34,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:27:21,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:27:26,Nam,Năm thứ ba,Dưới 1 năm,Miền Bắc,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5,4
4/8/2025 18:28:04,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:28:12,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:29:00,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:29:26,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,4,5,5,4,4,4,5,4,4,4,5,5,5,4,4,4
4/8/2025 18:29:28,Nam,Năm thứ ba,Trên 3 năm,Miền Bắc,4,4,4,4,4,3,4,5,3,3,3,4,4,4,5,5,5,5
4/8/2025 18:29:32,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,3,3,5,5,5,4,4,4,5,3,4,5,5,5,5
4/8/2025 18:29:37,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
4/8/2025 18:29:46,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5
4/8/2025 18:29:51,Nam,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:30:29,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4
4/8/2025 18:30:40,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
4/8/2025 18:30:42,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 18:31:13,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,4,5,4,4,4,4,4,4,4,5,4,4,5,5,5
4/8/2025 18:31:17,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:32:30,Nam,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:33:02,Nữ,Năm thứ ba,Trên 3 năm,Miền Nam,3,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:33:58,Nữ,Năm thứ ba,Trên 3 năm,Miền Nam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:34:06,Nữ,"Năm thứ ba, Năm thứ tư","1 - 3 năm, Trên 3 năm",Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:35:11,Nữ,Năm thứ ba,1 - 3 năm,Miền Nam,5,4,3,4,5,4,3,5,5,5,4,4,4,5,5,5,3,4
4/8/2025 18:38:04,Nam,Năm thứ ba,1 - 3 năm,Miền Nam,3,4,4,4,3,3,4,4,4,5,1,4,5,4,4,5,4,4
4/8/2025 18:39:23,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:39:41,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:40:48,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:41:31,Nữ,Năm thứ ba,1 - 3 năm,Miền Nam,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5
4/8/2025 18:41:34,Nam,Năm thứ ba,Dưới 1 năm,Miền Nam,5,5,5,3,4,4,4,4,5,5,5,5,4,5,4,5,4,5
4/8/2025 18:42:52,Nữ,Năm thứ ba,Trên 3 năm,Miền Nam,3,4,4,2,2,4,3,2,4,5,3,3,5,4,4,4,4,4
4/8/2025 18:42:58,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,3,4,4,3,3,2,3,3,5,3,4,4,5,4,5,4,5,5
4/8/2025 18:46:28,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 18:48:32,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,5,4,4,4,4,5,5,5,4,4,5,5,5,4,5,5,5
4/8/2025 18:50:52,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:52:53,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,4,4,4,4,3,4,5,5,3,3,4,4,3,5,5,5,5
4/8/2025 18:56:47,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 18:58:54,Nữ,Năm thứ ba,Trên 3 năm,Miền Trung,5,5,4,3,3,3,3,3,5,4,3,3,5,4,4,5,5,4
4/8/2025 19:07:30,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 19:08:18,Nữ,Năm thứ ba,Trên 3 năm,Miền Nam,5,4,4,5,5,4,3,5,5,4,4,5,5,5,5,5,5,5
4/8/2025 19:08:51,Nam,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,4,4,5,3,4,4,5,5,3,3,4,4,5,5,5,4
4/8/2025 19:09:55,Nam,Năm thứ ba,1 - 3 năm,Miền Nam,3,4,3,2,3,3,1,2,5,4,3,4,4,4,5,3,2,3
4/8/2025 19:12:12,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 19:13:17,Nữ,Năm thứ ba,Dưới 1 năm,Miền Nam,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,4,4,5
4/8/2025 19:21:09,Nữ,Năm thứ ba,1 - 3 năm,"Miền Bắc, Miền Trung",5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5
